פריט,תאור פריט,מספר ספק,שם מספר ספק,מ.63 הובלות באזר,שם מ.63 הובלות באזר
229048      ,מכונת נספרסו D112-IL-WH לבן CITIZ,600066026,"נספרסו ישראל בע""מ",3,שתי רשתות
227290,מאוורר אדים + קולט יתושים MIDEA  FS40-13QR,600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227291,'מאוורר 16'' 5 כנפיים  MIDEA  FS40-15F',600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227292,'מאוורר תליה 18'' MIDEA  FW45-F3',600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227293,'מאוורר עמוד 18''  MIDEA  FS45-12P',600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227294,'מאוורר עמוד מפואר 16''  MIDEA  FS40-8JC',600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227286,מצנן אויר אקאי 6811  דגם AC-120G,600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227287,'מאוורר שולחני 9'' + צידוד 630',600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227288,'מאוורר '6' קליפ + שולחני 631',600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227289,'מאוורר עמוד 20'' 5 כנפיים 632',600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
227295,קטלן יתושים מוסקיטו 754 2 6W,600060079,"המילטון חשמל ואלקטרוניקה בע""מ",3,שתי רשתות
231601,סט סירים 5 חלקים- גרץ GR885,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
221605,הובלת מוצרים קטנים בוש,600060063,בי.אס.אייץ.מכשירים בייתים,,
216620,סט סירים כרומקס CH2642 נירוסט,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
216619,סוטאז' קנווד KXLS26,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
216250,סט 4 מתנות בקו,600060009,"ברימאג דיגיטל אייג בע""מ",,
217534,משתתף במבצע משקפיים מתנה,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
217615,"ספר בישול ""מגישה בבית"" ",600060063,בי.אס.אייץ.מכשירים בייתים,,
222037,משלוח לבית לקוח גריל קטן,600060049,אוהב ציון,,
222040,משלוח לבית לקוח גריל גדול,600060049,אוהב ציון,,
222041,משלוח לבית לקוח גריל גדול,600060049,אוהב ציון,,
222042,משלוח לבית לקוח גריל גדול,600060049,אוהב ציון,,
223825,משלוח קטן קוויק בוקס,600060049,אוהב ציון,,
223826,משלוח בינוני,600060049,אוהב ציון,3,שתי רשתות
227077,שובר למארז 5 קפסולות,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
227078,שובר למארז 7 קפסולות,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",,
227337,מיקסר גט פוינט ,604060420,"trn -אלקטרה מוצרי צריכה (1951) בע"" מ -ווירפול",4,ללא
228552,מארז שלישיית חבילות קפסולות NDG-3,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
229566,משלוח לבית לקוח בינוני +,600060049,אוהב ציון,,
230045,הובלה פקטיבית ,600060014,"ניופאן בע""מ",3,שתי רשתות
209927,לא פעיל- לשעבר מטריה,600065003,"אפעז בע""מ",,
211607,שואב אבק רובוטי 2860 אלקטרודן,600060132,"אלקטרודן סחר בע""מ",,
711607,שואב אבק רובוטי 2860 אלקטרודן,600060132,"אלקטרודן סחר בע""מ",,
222098,פיירקס  בראון דגם MP100,600060010,"ברימאג דיגיטל אייג בע""מ - קטנים",3,שתי רשתות
221531,דמי משלוח לשואב אבק רומבה,600060337,"קהלת יבוא בע""מ",,
210687,מייבש שיער איתמר 3600 רמזור ,600065017,רמזור כדריה,3,שתי רשתות
